Name,Bevölkerungsdichte
Düsseldorf,2845.7
Duisburg,2157.1
Essen,2732.2
Krefeld,1679.5
Mönchengladbach,1567.5
Mülheim an der Ruhr,1895.8
Oberhausen,2771.4
Remscheid,1527.5
Solingen,1849.7
Wuppertal,2127.2
Kleve,261.2
Mettmann,1205.5
Rhein-Kreis Neuss,792.9
Viersen,528.8
Wesel,439.1
Bonn,2292.2
Köln,2529.8
Leverkusen,2137.5
Aachen,823.9
Düren,296.6
Rhein-Erft-Kreis,678.3
Euskirchen,162.3
Heinsberg,419.9
Oberbergischer Kreis,298.3
Rheinisch-Bergischer Kreis,650.0
Rhein-Sieg-Kreis,525.0
Bottrop,1178.2
Gelsenkirchen,2553.2
Münster,1016.4
Borken,268.0
Coesfeld,204.9
Recklinghausen,816.1
Steinfurt,251.5
Warendorf,214.2
Bielefeld,1281.2
Gütersloh,375.5
Herford,564.8
Höxter,115.9
Lippe,278.6
Minden-Lübbecke,278.2
Paderborn,253.4
Bochum,2462.4
Dortmund,2149.8
Hagen,1186.6
Hamm,794.8
Herne,3030.9
Ennepe-Ruhr-Kreis,766.9
Hochsauerlandkreis,133.1
Märkischer Kreis,384.6
Olpe,185.9
Siegen-Wittgenstein,241.9
Soest,226.0
Unna,724.9
