Name,Typ 1,Typ 2,Insgesamt,Anzahl 35a Hilfen
Düsseldorf,Kreisfreie Stadt,Kreisfreie Stadt,11264,523
Duisburg,Kreisfreie Stadt,Kreisfreie Stadt,10763,1327
Essen,Kreisfreie Stadt,Kreisfreie Stadt,3894,0
Krefeld,Kreisfreie Stadt,Kreisfreie Stadt,5291,495
Mönchengladbach,Kreisfreie Stadt,Kreisfreie Stadt,4860,375
Mülheim an der Ruhr,Kreisfreie Stadt,Kreisfreie Stadt,2711,659
Oberhausen,Kreisfreie Stadt,Kreisfreie Stadt,4908,285
Remscheid,Kreisfreie Stadt,Kreisfreie Stadt,1613,244
Solingen,Kreisfreie Stadt,Kreisfreie Stadt,2752,477
Wuppertal,Kreisfreie Stadt,Kreisfreie Stadt,6049,822
Kleve,Kleiner Kreis,Kreis,5323,1027
Mettmann,Großer Kreis,Kreis,8898,1226
Rhein-Kreis Neuss,Großer Kreis,Kreis,7206,996
Viersen,Großer Kreis,Kreis,4811,959
Wesel,Großer Kreis,Kreis,9655,1358
Bonn,Kreisfreie Stadt,Kreisfreie Stadt,4626,725
Köln,Kreisfreie Stadt,Kreisfreie Stadt,17855,4176
Leverkusen,Kreisfreie Stadt,Kreisfreie Stadt,2894,656
Aachen,Städteregion,Städteregion,12171,2209
Düren,Großer Kreis,Kreis,5053,1121
Rhein-Erft-Kreis,Großer Kreis,Kreis,9121,1509
Euskirchen,Kleiner Kreis,Kreis,2553,423
Heinsberg,Kleiner Kreis,Kreis,3729,885
Oberbergischer Kreis,Kleiner Kreis,Kreis,5878,669
Rheinisch-Bergischer Kreis,Großer Kreis,Kreis,4614,1012
Rhein-Sieg-Kreis,Großer Kreis,Kreis,9806,1496
Bottrop,Kreisfreie Stadt,Kreisfreie Stadt,1891,190
Gelsenkirchen,Kreisfreie Stadt,Kreisfreie Stadt,3873,306
Münster,Kreisfreie Stadt,Kreisfreie Stadt,5035,973
Borken,Großer Kreis,Kreis,7542,556
Coesfeld,Kleiner Kreis,Kreis,2602,317
Recklinghausen,Großer Kreis,Kreis,11703,1292
Steinfurt,Großer Kreis,Kreis,7744,470
Warendorf,Kleiner Kreis,Kreis,4848,368
Bielefeld,Kreisfreie Stadt,Kreisfreie Stadt,6067,843
Gütersloh,Großer Kreis,Kreis,6316,628
Herford,Großer Kreis,Kreis,3458,331
Höxter,Kleiner Kreis,Kreis,1897,301
Lippe,Großer Kreis,Kreis,4805,722
Minden-Lübbecke,Großer Kreis,Kreis,4270,653
Paderborn,Großer Kreis,Kreis,5217,822
Bochum,Kreisfreie Stadt,Kreisfreie Stadt,5672,652
Dortmund,Kreisfreie Stadt,Kreisfreie Stadt,11512,2118
Hagen,Kreisfreie Stadt,Kreisfreie Stadt,3060,434
Hamm,Kreisfreie Stadt,Kreisfreie Stadt,4390,557
Herne,Kreisfreie Stadt,Kreisfreie Stadt,3131,309
Ennepe-Ruhr-Kreis,Großer Kreis,Kreis,6216,1205
Hochsauerlandkreis,Großer Kreis,Kreis,4470,446
Märkischer Kreis,Großer Kreis,Kreis,7074,627
Olpe,Kleiner Kreis,Kreis,2450,388
Siegen-Wittgenstein,Großer Kreis,Kreis,4324,826
Soest,Großer Kreis,Kreis,5429,843
Unna,Großer Kreis,Kreis,7903,1128
