Name,Überörtlicher Träger
Bonn,LVR
Duisburg,LVR
Düsseldorf,LVR
Essen,LVR
Köln,LVR
Krefeld,LVR
Leverkusen,LVR
Mönchengladbach,LVR
Mülheim an der Ruhr,LVR
Oberhausen,LVR
Remscheid,LVR
Solingen,LVR
Wuppertal,LVR
Aachen,LVR
Düren,LVR
Euskirchen,LVR
Heinsberg,LVR
Kleve,LVR
Mettmann,LVR
Viersen,LVR
Wesel,LVR
Oberbergischer Kreis,LVR
Rhein-Kreis Neuss,LVR
Rheinisch-Bergischer Kreis,LVR
Rhein-Erft-Kreis,LVR
Rhein-Sieg-Kreis,LVR
Borken,LWL
Coesfeld,LWL
Ennepe-Ruhr-Kreis,LWL
Gütersloh,LWL
Herford,LWL
Hochsauerlandkreis,LWL
Höxter,LWL
Lippe,LWL
Märkischer Kreis,LWL
Minden-Lübbecke,LWL
Olpe,LWL
Paderborn,LWL
Recklinghausen,LWL
Siegen-Wittgenstein,LWL
Soest,LWL
Steinfurt,LWL
Unna,LWL
Warendorf,LWL
Bielefeld,LWL
Bochum,LWL
Bottrop,LWL
Dortmund,LWL
Gelsenkirchen,LWL
Hagen,LWL
Hamm,LWL
Herne,LWL
Münster,LWL
