Tabelle: 12411-02-03-4
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;
Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
Bevölkerungsstand (Anzahl);;;;;;
;;;;Insgesamt;männlich;weiblich
31.12.2023;05;  Nordrhein-Westfalen;6 bis unter 10 Jahre;701409;359878;341531
31.12.2023;05;  Nordrhein-Westfalen;10 bis unter 15 Jahre;829751;426423;403328
31.12.2023;05;  Nordrhein-Westfalen;15 bis unter 18 Jahre;515964;267548;248416
31.12.2023;05;  Nordrhein-Westfalen;18 bis unter 20 Jahre;354519;184996;169523
31.12.2023;05;  Nordrhein-Westfalen;Insgesamt;18017520;8859036;9158484
31.12.2023;051;    Düsseldorf, Regierungsbezirk;6 bis unter 10 Jahre;204998;105386;99612
31.12.2023;051;    Düsseldorf, Regierungsbezirk;10 bis unter 15 Jahre;240401;123605;116796
31.12.2023;051;    Düsseldorf, Regierungsbezirk;15 bis unter 18 Jahre;148155;76902;71253
31.12.2023;051;    Düsseldorf, Regierungsbezirk;18 bis unter 20 Jahre;99261;51708;47553
31.12.2023;051;    Düsseldorf, Regierungsbezirk;Insgesamt;5238909;2563070;2675839
31.12.2023;05111;      Düsseldorf, kreisfreie Stadt;6 bis unter 10 Jahre;22539;11642;10897
31.12.2023;05111;      Düsseldorf, kreisfreie Stadt;10 bis unter 15 Jahre;26792;14060;12732
31.12.2023;05111;      Düsseldorf, kreisfreie Stadt;15 bis unter 18 Jahre;15865;8410;7455
31.12.2023;05111;      Düsseldorf, kreisfreie Stadt;18 bis unter 20 Jahre;10501;5310;5191
31.12.2023;05111;      Düsseldorf, kreisfreie Stadt;Insgesamt;616319;297811;318508
31.12.2023;05112;      Duisburg, kreisfreie Stadt;6 bis unter 10 Jahre;20921;10848;10073
31.12.2023;05112;      Duisburg, kreisfreie Stadt;10 bis unter 15 Jahre;24473;12495;11978
31.12.2023;05112;      Duisburg, kreisfreie Stadt;15 bis unter 18 Jahre;14930;7732;7198
31.12.2023;05112;      Duisburg, kreisfreie Stadt;18 bis unter 20 Jahre;10241;5381;4860
31.12.2023;05112;      Duisburg, kreisfreie Stadt;Insgesamt;503185;249596;253589
31.12.2023;05113;      Essen, kreisfreie Stadt;6 bis unter 10 Jahre;22538;11842;10696
31.12.2023;05113;      Essen, kreisfreie Stadt;10 bis unter 15 Jahre;25707;13236;12471
31.12.2023;05113;      Essen, kreisfreie Stadt;15 bis unter 18 Jahre;15982;8281;7701
31.12.2023;05113;      Essen, kreisfreie Stadt;18 bis unter 20 Jahre;10666;5503;5163
31.12.2023;05113;      Essen, kreisfreie Stadt;Insgesamt;574082;279261;294821
31.12.2023;05114;      Krefeld, kreisfreie Stadt;6 bis unter 10 Jahre;8870;4527;4343
31.12.2023;05114;      Krefeld, kreisfreie Stadt;10 bis unter 15 Jahre;10666;5516;5150
31.12.2023;05114;      Krefeld, kreisfreie Stadt;15 bis unter 18 Jahre;6709;3552;3157
31.12.2023;05114;      Krefeld, kreisfreie Stadt;18 bis unter 20 Jahre;4515;2357;2158
31.12.2023;05114;      Krefeld, kreisfreie Stadt;Insgesamt;230393;112915;117478
31.12.2023;05116;      Mönchengladbach, kreisfreie Stadt;6 bis unter 10 Jahre;10432;5395;5037
31.12.2023;05116;      Mönchengladbach, kreisfreie Stadt;10 bis unter 15 Jahre;12193;6282;5911
31.12.2023;05116;      Mönchengladbach, kreisfreie Stadt;15 bis unter 18 Jahre;7656;4009;3647
31.12.2023;05116;      Mönchengladbach, kreisfreie Stadt;18 bis unter 20 Jahre;5449;2876;2573
31.12.2023;05116;      Mönchengladbach, kreisfreie Stadt;Insgesamt;267667;133041;134626
31.12.2023;05117;      Mülheim an der Ruhr, kreisfreie Stadt;6 bis unter 10 Jahre;6806;3514;3292
31.12.2023;05117;      Mülheim an der Ruhr, kreisfreie Stadt;10 bis unter 15 Jahre;8109;4160;3949
31.12.2023;05117;      Mülheim an der Ruhr, kreisfreie Stadt;15 bis unter 18 Jahre;4669;2400;2269
31.12.2023;05117;      Mülheim an der Ruhr, kreisfreie Stadt;18 bis unter 20 Jahre;3091;1577;1514
31.12.2023;05117;      Mülheim an der Ruhr, kreisfreie Stadt;Insgesamt;172887;83827;89060
31.12.2023;05119;      Oberhausen, kreisfreie Stadt;6 bis unter 10 Jahre;8597;4386;4211
31.12.2023;05119;      Oberhausen, kreisfreie Stadt;10 bis unter 15 Jahre;9903;5022;4881
31.12.2023;05119;      Oberhausen, kreisfreie Stadt;15 bis unter 18 Jahre;6026;3102;2924
31.12.2023;05119;      Oberhausen, kreisfreie Stadt;18 bis unter 20 Jahre;3985;1984;2001
31.12.2023;05119;      Oberhausen, kreisfreie Stadt;Insgesamt;213510;103649;109861
31.12.2023;05120;      Remscheid, kreisfreie Stadt;6 bis unter 10 Jahre;4459;2307;2152
31.12.2023;05120;      Remscheid, kreisfreie Stadt;10 bis unter 15 Jahre;5284;2744;2540
31.12.2023;05120;      Remscheid, kreisfreie Stadt;15 bis unter 18 Jahre;3293;1696;1597
