Tabelle: 22811-01i
Sozialberichterstattung in der amtlichen Statistik:;;
Mindestsicherungsquote - Gemeinden (Wohnortprinzip) -Jahr;;
Sozialberichterstattung in der amtlichen Statistik;;
Mindestsicherungsquote (Prozent);;
;;Jahr
;;2023
05;Nordrhein-Westfalen;11,1
051;  Düsseldorf, Regierungsbezirk;12,6
05111;    Düsseldorf, krfr. Stadt;11,5
05112;    Duisburg, krfr. Stadt;17,0
05113;    Essen, krfr. Stadt;17,8
05114;    Krefeld, krfr. Stadt;14,4
05116;    Mönchengladbach, krfr. Stadt;15,7
05117;    Mülheim an der Ruhr, krfr. Stadt;14,3
05119;    Oberhausen, krfr. Stadt;14,9
05120;    Remscheid, krfr. Stadt;12,3
05122;    Solingen, krfr. Stadt;11,4
05124;    Wuppertal, krfr. Stadt;15,8
05154;    Kleve, Kreis;7,9
05154004;      Bedburg-Hau;6,2
05154008;      Emmerich am Rhein, Stadt;8,7
05154012;      Geldern, Stadt;8,4
05154016;      Goch, Stadt;8,6
05154020;      Issum;5,6
05154024;      Kalkar, Stadt;6,5
05154028;      Kerken;5,5
05154032;      Kevelaer, Stadt;7,4
05154036;      Kleve, Stadt;9,9
05154040;      Kranenburg;.
05154044;      Rees, Stadt;9,3
05154048;      Rheurdt;.
05154052;      Straelen, Stadt;5,3
05154056;      Uedem;7,1
05154060;      Wachtendonk;6,2
05154064;      Weeze;11,1
05158;    Mettmann, Kreis;10,2
05158004;      Erkrath, Stadt;12,0
05158008;      Haan, Stadt;8,4
05158012;      Heiligenhaus, Stadt;11,2
05158016;      Hilden, Stadt;8,6
05158020;      Langenfeld (Rhld.), Stadt;6,8
05158024;      Mettmann, Stadt;8,4
05158026;      Monheim am Rhein, Stadt;14,7
05158028;      Ratingen, Stadt;9,7
05158032;      Velbert, Stadt;12,2
05158036;      Wülfrath, Stadt;8,9
05162;    Rhein-Kreis Neuss;8,5
05162004;      Dormagen, Stadt;7,5
05162008;      Grevenbroich, Stadt;9,5
05162012;      Jüchen, Stadt;7,0
05162016;      Kaarst, Stadt;6,1
05162020;      Korschenbroich, Stadt;4,9
05162022;      Meerbusch, Stadt;6,2
05162024;      Neuss, Stadt;11,4
05162028;      Rommerskirchen;4,9
05166;    Viersen, Kreis;7,9
05166004;      Brüggen;5,7
05166008;      Grefrath;6,8
05166012;      Kempen, Stadt;6,1
05166016;      Nettetal, Stadt;7,6
05166020;      Niederkrüchten;7,0
05166024;      Schwalmtal;8,3
05166028;      Tönisvorst, Stadt;7,5
05166032;      Viersen, Stadt;10,7
05166036;      Willich, Stadt;6,3
05170;    Wesel, Kreis;9,5
05170004;      Alpen;5,3
05170008;      Dinslaken, Stadt;10,3
05170012;      Hamminkeln, Stadt;6,1
05170016;      Hünxe;6,4
05170020;      Kamp-Lintfort, Stadt;11,2
05170024;      Moers, Stadt;11,7
05170028;      Neukirchen-Vluyn, Stadt;8,2
05170032;      Rheinberg, Stadt;6,9
05170036;      Schermbeck;6,8
05170040;      Sonsbeck;7,7
05170044;      Voerde (Niederrhein), Stadt;9,3
05170048;      Wesel, Stadt;11,0
05170052;      Xanten, Stadt;6,8
