"Regionale Verteilung der Ärzte in der
vertragsärztlichen Versorgung, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regionsschlüssel,Name,Regionstyp,Gesamt,,,,,,,Anästhesisten,Anästhesisten,Anästhesisten,Anästhesisten,Anästhesisten,Anästhesisten,Anästhesisten,ärztliche Psychotherapeuten,ärztliche Psychotherapeuten,ärztliche Psychotherapeuten,ärztliche Psychotherapeuten,ärztliche Psychotherapeuten,ärztliche Psychotherapeuten,ärztliche Psychotherapeuten,Augenärzte,Augenärzte,Augenärzte,Augenärzte,Augenärzte,Augenärzte,Augenärzte,Chirurgen und Orthopäden,Chirurgen und Orthopäden,Chirurgen und Orthopäden,Chirurgen und Orthopäden,Chirurgen und Orthopäden,Chirurgen und Orthopäden,Chirurgen und Orthopäden,Frauenärzte,Frauenärzte,Frauenärzte,Frauenärzte,Frauenärzte,Frauenärzte,Frauenärzte,Hausärztliche Fachgruppen,Hausärztliche Fachgruppen,Hausärztliche Fachgruppen,Hausärztliche Fachgruppen,Hausärztliche Fachgruppen,Hausärztliche Fachgruppen,Hausärztliche Fachgruppen,HNO-Ärzte,HNO-Ärzte,HNO-Ärzte,HNO-Ärzte,HNO-Ärzte,HNO-Ärzte,HNO-Ärzte,Hautärzte,Hautärzte,Hautärzte,Hautärzte,Hautärzte,Hautärzte,Hautärzte,(Fach-)Internisten (inkl. Lungenärzte),(Fach-)Internisten (inkl. Lungenärzte),(Fach-)Internisten (inkl. Lungenärzte),(Fach-)Internisten (inkl. Lungenärzte),(Fach-)Internisten (inkl. Lungenärzte),(Fach-)Internisten (inkl. Lungenärzte),(Fach-)Internisten (inkl. Lungenärzte),Kinderärzte,Kinderärzte,Kinderärzte,Kinderärzte,Kinderärzte,Kinderärzte,Kinderärzte,Kind.Jug.Psychiater,Kind.Jug.Psychiater,Kind.Jug.Psychiater,Kind.Jug.Psychiater,Kind.Jug.Psychiater,Kind.Jug.Psychiater,Kind.Jug.Psychiater,Mund-Kiefer-Gesichts-Chirurgen,Mund-Kiefer-Gesichts-Chirurgen,Mund-Kiefer-Gesichts-Chirurgen,Mund-Kiefer-Gesichts-Chirurgen,Mund-Kiefer-Gesichts-Chirurgen,Mund-Kiefer-Gesichts-Chirurgen,Mund-Kiefer-Gesichts-Chirurgen,Nervenärzte,Nervenärzte,Nervenärzte,Nervenärzte,Nervenärzte,Nervenärzte,Nervenärzte,Psychologische Psychotherapeuten,Psychologische Psychotherapeuten,Psychologische Psychotherapeuten,Psychologische Psychotherapeuten,Psychologische Psychotherapeuten,Psychologische Psychotherapeuten,Psychologische Psychotherapeuten,Radiologen (ohne Strahlentherapeuten),Radiologen (ohne Strahlentherapeuten),Radiologen (ohne Strahlentherapeuten),Radiologen (ohne Strahlentherapeuten),Radiologen (ohne Strahlentherapeuten),Radiologen (ohne Strahlentherapeuten),Radiologen (ohne Strahlentherapeuten),Urologen,Urologen,Urologen,Urologen,Urologen,Urologen,Urologen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen,Gesonderte Fachärztliche Versorgung und übrige Arztgruppen
,,,Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW),Anteil weibliche Ärzte in %,Anteil Ärzte >65 Jahre in %,Durchschnitts-alter Ärzte,Anteil Vertragsärzte in %,Anteil angestellte Ärzte in %,Teilnahme-umfang pro Kopf,Arztdichte (Ärzte je 100.000 EW)
1,Schleswig-Holstein,KV-Region,"50,8","10,5","54,1","67,8","28,3","0,8","216,7","41,7","7,9","54,3","52,3","42,4","0,7","5,2","75,4","26,1","60,2","96,1","3,0","0,6","7,0","52,0","9,0","51,5","38,9","61,1","0,7","8,4","15,3","6,8","54,0","54,7","34,3","0,8","16,3","73,6","6,4","53,4","64,2","29,4","0,8","14,7","50,9","12,4","54,4","71,8","27,8","0,9","70,9","30,9","7,4","54,1","73,8","24,2","0,9","5,2","58,3","6,6","52,8","67,5","30,5","0,8","5,2","28,0","6,5","54,1","54,2","31,3","0,8","14,9","61,2","4,0","52,3","69,2","26,1","0,8","9,6","75,5","3,8","54,8","79,2","20,8","0,9","1,8","11,5","8,2","52,7","80,3","19,7","1,0","2,1","46,4","10,5","54,1","63,7","30,4","0,8","8,2","73,6","15,3","54,1","93,1","4,8","0,7","30,4","46,7","5,2","52,0","25,9","63,0","0,7","4,7","17,4","7,8","54,0","75,7","20,9","0,9","4,0","43,1","6,9","53,7","23,7","71,1","0,8","8,0"
2,Hamburg,KV-Region,"57,2","14,7","54,3","62,3","34,2","0,8","310,3","62,3","18,4","56,4","50,0","43,0","0,7","6,2","66,4","29,7","60,6","93,0","6,1","0,7","12,5","55,2","12,6","53,0","49,2","50,3","0,8","10,0","22,1","7,4","53,1","54,9","38,3","0,8","20,0","76,2","9,1","52,0","57,5","38,9","0,8","22,7","57,4","14,7","55,2","62,8","36,4","0,9","73,4","42,5","9,6","52,7","81,5","15,8","0,9","8,0","52,6","12,4","54,2","57,7","38,0","0,8","7,5","35,0","9,5","53,6","37,3","58,0","0,8","19,5","62,2","6,3","51,5","54,2","39,1","0,8","13,0","62,3","8,2","53,6","77,0","23,0","0,8","3,3","15,5","7,0","53,5","78,9","21,1","0,9","3,9","45,9","11,7","55,1","66,8","27,8","0,8","11,2","78,2","22,9","54,7","79,6","14,9","0,7","70,9","31,5","9,8","52,2","25,2","70,6","0,6","7,8","19,8","13,2","54,3","73,6","26,4","0,8","5,0","45,6","8,9","53,4","20,6","77,9","0,7","15,4"
3,Bremen,KV-Region,"53,9","14,4","54,8","68,1","25,1","0,8","308,0","40,0","9,1","54,8","47,3","45,5","0,7","8,1","70,5","32,1","61,9","94,9","2,6","0,7","11,5","46,7","12,2","49,7","26,7","67,8","0,8","13,2","15,9","9,7","53,8","55,9","30,3","0,8","21,3","74,8","12,6","55,7","63,6","30,1","0,8","21,0","51,8","14,5","55,8","71,2","27,9","0,9","65,9","40,0","9,1","55,8","78,2","14,5","0,9","8,1","62,2","8,9","52,7","73,3","22,2","0,9","6,6","23,8","7,3","54,8","53,0","31,8","0,9","22,2","59,4","5,0","54,5","71,3","12,9","0,8","14,9","46,2","30,8","57,8","69,2","23,1","0,9","1,9","33,3","18,5","56,3","40,7","59,3","0,9","4,0","44,2","9,1","53,9","70,1","27,3","0,8","11,3","79,2","21,0","53,6","88,0","4,1","0,7","72,2","32,8","1,7","53,4","46,6","44,8","0,6","8,5","29,3","9,8","53,7","78,0","9,8","0,9","6,0","43,4","19,7","57,1","23,7","73,7","0,8","11,2"
17,Niedersachsen,KV-Region,"47,7","12,9","54,6","66,1","26,0","0,9","211,6","32,1","8,9","55,8","53,0","29,8","0,8","4,4","64,7","26,9","60,6","88,8","7,7","0,7","5,1","42,4","13,3","53,6","50,7","46,9","0,9","7,3","14,5","6,8","53,8","41,5","32,8","0,8","16,9","71,1","9,4","54,3","60,6","26,9","0,9","14,9","46,4","16,1","55,7","74,7","25,0","1,0","65,8","29,0","11,0","54,5","71,9","18,0","0,9","5,4","55,2","10,8","53,9","68,2","25,6","0,9","4,1","25,8","8,5","54,8","47,2","35,5","0,9","16,8","58,7","6,7","52,9","58,9","24,7","0,9","9,7","60,4","9,0","54,4","76,4","22,9","0,9","1,8","14,0","11,9","54,7","78,3","18,9","0,9","1,8","44,6","9,5","54,6","58,8","29,8","0,9","8,0","77,7","16,8","52,9","90,6","5,8","0,7","33,5","33,6","11,1","53,8","29,2","50,4","0,8","4,9","13,0","6,8","53,5","68,7","18,9","0,9","4,1","37,0","9,5","54,1","24,8","71,8","0,8","7,4"
20,Westfalen-Lippe,KV-Region,"47,3","13,5","54,1","66,9","26,3","0,8","203,8","32,7","14,7","57,4","47,5","34,2","0,8","4,1","68,9","19,7","59,5","93,7","3,3","0,7","4,8","45,6","14,9","53,4","50,7","46,5","0,8","7,4","13,3","9,3","54,7","52,1","29,7","0,8","14,9","74,1","10,1","54,1","64,5","24,1","0,8","15,1","42,5","19,2","56,2","76,1","23,8","0,9","59,8","29,6","11,3","53,5","79,6","15,9","0,9","5,0","51,0","13,7","54,1","65,2","30,2","0,9","4,7","25,4","8,9","54,8","42,8","38,8","0,8","13,8","56,6","7,8","52,6","62,8","24,7","0,8","9,5","59,2","11,2","56,5","74,4","21,6","0,9","1,5","10,7","10,7","55,2","77,9","20,7","0,9","1,7","39,8","12,3","54,1","64,2","25,4","0,9","7,1","76,9","12,9","50,3","84,0","11,5","0,6","37,2","28,9","6,6","51,6","20,1","63,1","0,7","5,5","15,0","8,1","53,3","70,2","17,6","0,9","4,2","31,9","7,6","53,7","26,1","71,7","0,7","7,5"
38,Nordrhein,KV-Region,"52,0","12,0","53,6","66,5","27,4","0,8","240,1","42,4","10,9","55,8","55,2","35,8","0,8","5,1","68,0","24,4","60,2","93,7","6,1","0,7","8,3","48,6","9,9","52,2","45,3","51,5","0,8","8,5","16,0","6,0","53,2","46,2","33,9","0,8","18,7","72,0","9,9","54,3","63,9","25,3","0,9","17,5","49,6","15,9","55,4","72,6","27,2","0,9","66,1","37,8","10,5","53,1","73,5","21,8","0,9","6,2","59,7","7,9","52,5","67,5","28,8","0,8","5,6","26,7","7,3","53,4","44,1","37,3","0,8","14,8","58,9","6,6","52,8","64,9","24,9","0,8","10,5","71,7","5,7","53,3","73,6","24,5","0,9","1,6","10,4","9,3","53,1","83,1","16,4","0,9","1,9","45,1","13,6","54,9","64,8","26,2","0,9","8,6","79,3","13,1","50,4","84,6","12,0","0,6","47,0","34,7","5,7","52,1","29,3","61,0","0,6","6,2","17,4","7,2","53,2","68,8","19,3","0,9","4,8","36,4","10,6","54,2","27,4","68,9","0,7","8,6"
46,Hessen,KV-Region,"52,9","13,2","53,9","68,9","27,4","0,8","231,3","43,5","11,9","55,4","51,4","45,0","0,7","5,3","67,9","32,1","61,4","94,9","4,3","0,7","8,2","49,6","8,4","51,8","48,9","47,0","0,8","7,4","16,5","8,8","54,2","49,5","39,9","0,7","16,7","74,3","7,0","53,6","59,7","31,7","0,8","15,1","49,8","15,7","55,1","71,9","27,9","0,9","65,9","32,1","10,7","54,0","74,6","22,0","0,9","5,2","57,6","8,5","52,9","71,7","25,8","0,8","4,5","27,8","9,6","53,8","48,9","42,5","0,7","14,3","58,9","8,4","52,3","63,0","27,9","0,8","9,4","69,6","6,3","51,9","73,4","21,5","0,9","1,3","11,1","2,5","52,4","80,2","19,8","0,9","1,3","45,8","11,0","53,7","62,7","30,3","0,8","7,1","77,1","16,1","52,1","89,9","8,6","0,6","52,3","32,1","5,7","52,2","34,5","55,3","0,6","5,3","19,8","5,4","52,1","73,1","16,5","0,9","3,9","38,1","9,5","53,8","28,7","68,8","0,7","8,1"
