Tabelle: 12411-09i
Bevölkerungsstand nach Altersjahren (90);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- Gemeinden - Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher);Bevölkerungsstand (Basis Zensus 2022 und früher)
;;;Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr);Altersjahre (unter 1 bis 90 Jahre und mehr)
;;;Insgesamt;unter 1 Jahr;1 bis unter 2 Jahre;2 bis unter 3 Jahre;3 bis unter 4 Jahre;4 bis unter 5 Jahre;5 bis unter 6 Jahre;6 bis unter 7 Jahre;7 bis unter 8 Jahre;8 bis unter 9 Jahre;9 bis unter 10 Jahre;10 bis unter 11 Jahre;11 bis unter 12 Jahre;12 bis unter 13 Jahre;13 bis unter 14 Jahre;14 bis unter 15 Jahre;15 bis unter 16 Jahre;16 bis unter 17 Jahre;17 bis unter 18 Jahre;18 bis unter 19 Jahre;19 bis unter 20 Jahre;20 bis unter 21 Jahre;21 bis unter 22 Jahre;22 bis unter 23 Jahre;23 bis unter 24 Jahre;24 bis unter 25 Jahre;25 bis unter 26 Jahre;26 bis unter 27 Jahre;27 bis unter 28 Jahre;28 bis unter 29 Jahre;29 bis unter 30 Jahre;30 bis unter 31 Jahre;31 bis unter 32 Jahre;32 bis unter 33 Jahre;33 bis unter 34 Jahre;34 bis unter 35 Jahre;35 bis unter 36 Jahre;36 bis unter 37 Jahre;37 bis unter 38 Jahre;38 bis unter 39 Jahre;39 bis unter 40 Jahre;40 bis unter 41 Jahre;41 bis unter 42 Jahre;42 bis unter 43 Jahre;43 bis unter 44 Jahre;44 bis unter 45 Jahre;45 bis unter 46 Jahre;46 bis unter 47 Jahre;47 bis unter 48 Jahre;48 bis unter 49 Jahre;49 bis unter 50 Jahre;50 bis unter 51 Jahre;51 bis unter 52 Jahre;52 bis unter 53 Jahre;53 bis unter 54 Jahre;54 bis unter 55 Jahre;55 bis unter 56 Jahre;56 bis unter 57 Jahre;57 bis unter 58 Jahre;58 bis unter 59 Jahre;59 bis unter 60 Jahre;60 bis unter 61 Jahre;61 bis unter 62 Jahre;62 bis unter 63 Jahre;63 bis unter 64 Jahre;64 bis unter 65 Jahre;65 bis unter 66 Jahre;66 bis unter 67 Jahre;67 bis unter 68 Jahre;68 bis unter 69 Jahre;69 bis unter 70 Jahre;70 bis unter 71 Jahre;71 bis unter 72 Jahre;72 bis unter 73 Jahre;73 bis unter 74 Jahre;74 bis unter 75 Jahre;75 bis unter 76 Jahre;76 bis unter 77 Jahre;77 bis unter 78 Jahre;78 bis unter 79 Jahre;79 bis unter 80 Jahre;80 bis unter 81 Jahre;81 bis unter 82 Jahre;82 bis unter 83 Jahre;83 bis unter 84 Jahre;84 bis unter 85 Jahre;85 bis unter 86 Jahre;86 bis unter 87 Jahre;87 bis unter 88 Jahre;88 bis unter 89 Jahre;89 bis unter 90 Jahre;90 Jahre und mehr
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2024;05;Nordrhein-Westfalen;18034454;151633;156772;165651;174812;172021;173344;177023;178113;180095;174757;173127;166591;167863;164815;169657;167698;174358;175176;175094;179006;185305;185366;191311;198660;211072;215058;221279;228428;225731;221490;225107;232181;235771;238842;247420;241309;246070;240710;236016;228475;226313;226776;230949;227590;228211;215298;211740;211215;210935;204677;206947;207792;224557;246127;255386;278396;289035;294101;298726;295476;297158;289579;276826;269938;261236;251556;235604;228377;218528;207209;200164;187750;183170;174476;171580;167856;149954;134712;119864;97893;123115;118873;110603;126975;128561;119012;103351;88724;75114;62782;190460
31.12.2024;051;  Düsseldorf, Regierungsbezirk;5244379;43574;44832;47613;50300;49601;50160;51359;52092;52871;50999;50415;48537;48816;47612;48929;48452;50192;50189;49943;49845;51198;50239;52365;54200;58136;59204;62110;65070;65450;64401;66287;68646;70504;71001;73912;72193;73591;71526;70139;67634;66810;66978;68093;66980;67445;63296;61845;62372;61245;59498;60233;60261;65080;71834;74256;80990;83827;85576;86969;86120;86189;84265;80303;77915;75567;71899;68032;65891;62851;59625;57446;53832;53048;50289;50062;48717;44583;40051;35977;30103;37571;35474;33280;38099;38341;35598;30792;26206;22446;19230;56852
31.12.2024;05111;    Düsseldorf, krfr. Stadt;618685;5440;5204;5472;5482;5305;5202;5461;5573;5670;5512;5591;5507;5309;5140;5477;5284;5502;5339;5263;5390;5850;6064;6515;7055;7958;8422;9143;10178;10444;10079;10539;10888;10968;10388;10539;10187;10376;9670;9438;9128;8814;8803;8802;8492;8629;8035;7915;7890;7871;7552;7413;7469;7751;8472;8691;9007;9308;9310;9248;9003;8965;8446;8165;7763;7460;7009;6515;6357;5990;5713;5442;5177;5153;5003;4996;4905;4455;4224;3859;3300;3989;3691;3581;4032;4088;3742;3207;2838;2315;1984;5894
31.12.2024;05112;    Duisburg, krfr. Stadt;502270;4599;4688;5060;5195;5107;5137;5277;5314;5427;5174;5037;4856;4891;4839;5077;4973;4964;5120;5064;5197;5483;5447;5725;5922;6145;6369;6621;6902;6771;6454;6661;6827;6977;7200;7294;7144;7185;6945;6634;6226;6200;6194;6232;6342;6504;6138;5929;6061;5995;5858;5964;6092;6225;6766;6907;7383;7472;7526;7672;7971;7737;7602;7226;6943;6825;6488;6167;5749;5816;5460;5139;4841;4739;4385;4244;4058;3895;3371;3035;2771;3127;2919;2748;3178;3191;3121;2609;2322;2088;1775;5342
31.12.2024;05113;    Essen, krfr. Stadt;574682;5177;5225;5451;5556;5495;5718;5759;5755;5714;5697;5503;5320;5307;5004;5170;5131;5385;5528;5412;5543;5814;5629;6070;6278;7033;7219;7518;7982;7777;8053;8083;8257;8346;8434;8728;8386;8267;7980;7797;7488;7586;7411;7404;7212;7236;6772;6709;6603;6318;6357;6464;6307;7009;7404;7729;8396;8539;8592;8886;8634;8624;8556;8210;7829;7719;7550;7298;7072;6658;6263;6248;5983;5664;5381;5258;5430;4886;4334;3900;3263;4130;3864;3617;4125;4092;3791;3382;2811;2455;2172;6560
31.12.2024;05114;    Krefeld, krfr. Stadt;231406;1923;2031;2005;2090;2107;2131;2279;2260;2308;2201;2195;2076;2150;2140;2160;2204;2238;2295;2321;2270;2340;2339;2342;2482;2692;2617;2677;2930;2922;2768;2813;2965;2983;3064;3199;3043;3160;3074;3047;2945;2771;2888;2942;2865;2936;2726;2692;2790;2747;2713;2810;2681;2868;3192;3370;3732;3824;3900;3948;3820;3761;3681;3562;3468;3399;3053;2992;2993;2705;2585;2472;2236;2299;2234;2182;2135;1971;1742;1589;1359;1731;1620;1525;1736;1770;1641;1422;1128;994;850;2570
31.12.2024;05116;    Mönchengladbach, krfr. Stadt;267213;2414;2404;2486;2562;2663;2565;2629;2721;2655;2667;2479;2388;2536;2358;2511;2514;2586;2594;2633;2623;2829;2678;2865;2994;3223;3318;3393;3558;3492;3503;3497;3527;3629;3753;3758;3825;3693;3687;3609;3522;3419;3364;3410;3318;3372;3222;3151;3187;3088;2897;2986;2918;3175;3590;3626;4003;4213;4076;4176;4268;4308;4258;4142;3908;3825;3696;3506;3415;3304;3026;2948;2770;2662;2531;2549;2442;2242;1965;1829;1469;1830;1697;1517;1738;1921;1735;1411;1269;1029;918;2553
