Tabelle: 12411-15i
Katasterfläche (qkm), Bevölkerung und Bevölkerungsdichte - Stichtag - Gemeinden;;;;;
;;;Fortschreibung des Bevölkerungsstandes;Flächenerhebung nach Art der tatsächlichen Nutzung;Fortschreibung des Bevölkerungsstandes
;;;Bevölkerungsstand (Basis Zensus 2022 und früher);Bodenfläche (Katasterfläche) in qkm;Bevölkerungsdichte
;;;Anzahl;qkm;EW pro qkm
31.12.2024;05;Nordrhein-Westfalen;18034454;34112,44;528,7
31.12.2024;051;  Düsseldorf, Regierungsbezirk;5244379;5292,33;990,9
31.12.2024;05111;    Düsseldorf, krfr. Stadt;618685;217,41;2845,7
31.12.2024;05112;    Duisburg, krfr. Stadt;502270;232,84;2157,1
31.12.2024;05113;    Essen, krfr. Stadt;574682;210,34;2732,2
31.12.2024;05114;    Krefeld, krfr. Stadt;231406;137,78;1679,5
31.12.2024;05116;    Mönchengladbach, krfr. Stadt;267213;170,47;1567,5
31.12.2024;05117;    Mülheim an der Ruhr, krfr. Stadt;173050;91,28;1895,8
31.12.2024;05119;    Oberhausen, krfr. Stadt;213646;77,09;2771,4
31.12.2024;05120;    Remscheid, krfr. Stadt;113828;74,52;1527,5
31.12.2024;05122;    Solingen, krfr. Stadt;165626;89,54;1849,7
31.12.2024;05124;    Wuppertal, krfr. Stadt;358193;168,39;2127,2
31.12.2024;05154;    Kleve, Kreis;322018;1232,99;261,2
31.12.2024;05154004;      Bedburg-Hau;13599;61,31;221,8
31.12.2024;05154008;      Emmerich am Rhein, Stadt;31829;80,40;395,9
31.12.2024;05154012;      Geldern, Stadt;34962;96,97;360,5
31.12.2024;05154016;      Goch, Stadt;34907;115,43;302,4
31.12.2024;05154020;      Issum;12428;54,74;227,0
31.12.2024;05154024;      Kalkar, Stadt;14513;88,20;164,5
31.12.2024;05154028;      Kerken;13186;58,17;226,7
31.12.2024;05154032;      Kevelaer, Stadt;28296;100,64;281,2
31.12.2024;05154036;      Kleve, Stadt;53028;97,76;542,4
31.12.2024;05154040;      Kranenburg;11303;76,89;147,0
31.12.2024;05154044;      Rees, Stadt;21913;109,86;199,5
31.12.2024;05154048;      Rheurdt;6450;30,03;214,8
31.12.2024;05154052;      Straelen, Stadt;16458;74,00;222,4
31.12.2024;05154056;      Uedem;8163;60,93;134,0
31.12.2024;05154060;      Wachtendonk;8217;48,17;170,6
31.12.2024;05154064;      Weeze;12766;79,49;160,6
31.12.2024;05158;    Mettmann, Kreis;490910;407,22;1205,5
31.12.2024;05158004;      Erkrath, Stadt;43706;26,88;1626,0
31.12.2024;05158008;      Haan, Stadt;30086;24,19;1243,7
31.12.2024;05158012;      Heiligenhaus, Stadt;26252;27,52;953,9
31.12.2024;05158016;      Hilden, Stadt;55157;25,95;2125,5
31.12.2024;05158020;      Langenfeld (Rhld.), Stadt;59975;41,15;1457,5
31.12.2024;05158024;      Mettmann, Stadt;39542;42,56;929,1
31.12.2024;05158026;      Monheim am Rhein, Stadt;43630;23,05;1892,8
31.12.2024;05158028;      Ratingen, Stadt;89368;88,74;1007,1
31.12.2024;05158032;      Velbert, Stadt;82463;74,90;1101,0
31.12.2024;05158036;      Wülfrath, Stadt;20731;32,27;642,4
31.12.2024;05162;    Rhein-Kreis Neuss;457077;576,44;792,9
31.12.2024;05162004;      Dormagen, Stadt;63799;85,50;746,2
31.12.2024;05162008;      Grevenbroich, Stadt;65983;102,52;643,6
31.12.2024;05162012;      Jüchen, Stadt;23926;71,77;333,4
31.12.2024;05162016;      Kaarst, Stadt;43295;37,39;1157,9
31.12.2024;05162020;      Korschenbroich, Stadt;34600;55,26;626,1
31.12.2024;05162022;      Meerbusch, Stadt;57078;64,40;886,3
31.12.2024;05162024;      Neuss, Stadt;154317;99,52;1550,6
31.12.2024;05162028;      Rommerskirchen;14079;60,08;234,3
31.12.2024;05166;    Viersen, Kreis;297857;563,28;528,8
31.12.2024;05166004;      Brüggen;16198;61,20;264,7
31.12.2024;05166008;      Grefrath;15117;30,98;488,0
31.12.2024;05166012;      Kempen, Stadt;34105;68,80;495,7
31.12.2024;05166016;      Nettetal, Stadt;41955;83,87;500,2
31.12.2024;05166020;      Niederkrüchten;14619;67,07;218,0
31.12.2024;05166024;      Schwalmtal;18826;48,11;391,3
31.12.2024;05166028;      Tönisvorst, Stadt;29251;44,34;659,7
31.12.2024;05166032;      Viersen, Stadt;78373;91,10;860,3
31.12.2024;05166036;      Willich, Stadt;49413;67,80;728,8
31.12.2024;05170;    Wesel, Kreis;457918;1042,76;439,1
31.12.2024;05170004;      Alpen;12515;59,60;210,0
31.12.2024;05170008;      Dinslaken, Stadt;66993;47,66;1405,6
31.12.2024;05170012;      Hamminkeln, Stadt;26873;164,53;163,3
31.12.2024;05170016;      Hünxe;13676;106,85;128,0
31.12.2024;05170020;      Kamp-Lintfort, Stadt;38217;63,14;605,3
