Tabelle: 12521-03i
Ausländische Bevölkerung nach Geschlecht und;;;;;;;
Staatsangehörigkeiten (215);;;;;;;
- kreisfreie Städte und Kreise - Stichtag;;;;;;;
Ausländerstatistik (AZR);;;;;;;
;;;;;Ausländische Bevölkerung;Ausländische Bevölkerung;Ausländische Bevölkerung
;;;;;Insgesamt;männlich;weiblich
;;;;;Anzahl;Anzahl;Anzahl
31.12.2024;05;Nordrhein-Westfalen;1;Europa;2228230;1132670;1095560
31.12.2024;05;Nordrhein-Westfalen;121;  Albanien;33330;18595;14735
31.12.2024;05;Nordrhein-Westfalen;122;  Bosnien und Herzegowina;46980;24670;22310
31.12.2024;05;Nordrhein-Westfalen;123;  Andorra;5;-;-
31.12.2024;05;Nordrhein-Westfalen;124;  Belgien;12905;6870;6035
31.12.2024;05;Nordrhein-Westfalen;125;  Bulgarien;105755;55545;50210
31.12.2024;05;Nordrhein-Westfalen;126;  Dänemark;2015;1025;990
31.12.2024;05;Nordrhein-Westfalen;127;  Estland;1240;460;780
31.12.2024;05;Nordrhein-Westfalen;128;  Finnland;2180;735;1450
31.12.2024;05;Nordrhein-Westfalen;129;  Frankreich;20445;9300;11145
31.12.2024;05;Nordrhein-Westfalen;130;  Kroatien;55825;28835;26990
31.12.2024;05;Nordrhein-Westfalen;131;  Slowenien;4110;2115;1995
31.12.2024;05;Nordrhein-Westfalen;132;  Serbien und Montenegro (ab 01.01.2004-31.07.2006);3055;1625;1430
31.12.2024;05;Nordrhein-Westfalen;133;  Serbien (ab 01.08.2006);840;440;395
31.12.2024;05;Nordrhein-Westfalen;134;  Griechenland;96480;51230;45250
31.12.2024;05;Nordrhein-Westfalen;135;  Irland;3110;1805;1305
31.12.2024;05;Nordrhein-Westfalen;136;  Island;255;140;115
31.12.2024;05;Nordrhein-Westfalen;137;  Italien;138975;79625;59350
31.12.2024;05;Nordrhein-Westfalen;138;  Jugoslawien (ehem.);2600;1505;1100
31.12.2024;05;Nordrhein-Westfalen;139;  Lettland;9045;4660;4385
31.12.2024;05;Nordrhein-Westfalen;140;  Montenegro (ab 01.08.2006);7500;4330;3170
31.12.2024;05;Nordrhein-Westfalen;141;  Liechtenstein;35;15;20
31.12.2024;05;Nordrhein-Westfalen;142;  Litauen;11295;5175;6115
31.12.2024;05;Nordrhein-Westfalen;143;  Luxemburg;2480;1340;1140
31.12.2024;05;Nordrhein-Westfalen;144;  Nordmazedonien;47330;24120;23210
31.12.2024;05;Nordrhein-Westfalen;145;  Malta;195;95;95
31.12.2024;05;Nordrhein-Westfalen;146;  Moldau;6990;2730;4260
31.12.2024;05;Nordrhein-Westfalen;147;  Monaco;-;-;-
31.12.2024;05;Nordrhein-Westfalen;148;  Niederlande;68685;37880;30805
31.12.2024;05;Nordrhein-Westfalen;149;  Norwegen;1330;650;680
31.12.2024;05;Nordrhein-Westfalen;150;  Kosovo (ab 01.05.2008);71000;37515;33485
31.12.2024;05;Nordrhein-Westfalen;151;  Österreich;20740;10355;10390
31.12.2024;05;Nordrhein-Westfalen;152;  Polen;218075;112260;105820
31.12.2024;05;Nordrhein-Westfalen;153;  Portugal;37285;19770;17515
31.12.2024;05;Nordrhein-Westfalen;154;  Rumänien;170480;95735;74740
31.12.2024;05;Nordrhein-Westfalen;155;  Slowakei;6535;3300;3240
31.12.2024;05;Nordrhein-Westfalen;156;  San Marino;5;-;-
31.12.2024;05;Nordrhein-Westfalen;157;  Schweden;6215;3115;3100
31.12.2024;05;Nordrhein-Westfalen;158;  Schweiz;5110;2220;2890
31.12.2024;05;Nordrhein-Westfalen;159;  ehem. Sowjetunion o.n.A.;315;140;175
31.12.2024;05;Nordrhein-Westfalen;160;  Russische Föderation;57635;22200;35435
31.12.2024;05;Nordrhein-Westfalen;161;  Spanien;59315;31385;27925
31.12.2024;05;Nordrhein-Westfalen;162;  Tschechoslowakei (ehem.);220;90;135
31.12.2024;05;Nordrhein-Westfalen;163;  Türkei;490285;251335;238945
31.12.2024;05;Nordrhein-Westfalen;164;  Tschechische Republik;5345;2385;2955
31.12.2024;05;Nordrhein-Westfalen;165;  Ungarn;22305;12435;9870
31.12.2024;05;Nordrhein-Westfalen;166;  Ukraine;279855;114750;165105
31.12.2024;05;Nordrhein-Westfalen;167;  Vatikanstadt;-;-;-
31.12.2024;05;Nordrhein-Westfalen;168;  Vereinigtes Königreich;16735;11135;5600
31.12.2024;05;Nordrhein-Westfalen;169;  Belarus;5235;1690;3545
31.12.2024;05;Nordrhein-Westfalen;170;  Serbien ohne Kosovo (ab 01.05.2008);69650;34905;34745
31.12.2024;05;Nordrhein-Westfalen;181;  Zypern;910;435;475
31.12.2024;05;Nordrhein-Westfalen;185;  Britische Überseegebiete;45;25;20
31.12.2024;05;Nordrhein-Westfalen;195;  Gibraltar, Insel Man, Kanalinseln (brit. abhängige Gebiete);10;5;5
31.12.2024;05;Nordrhein-Westfalen;199;  Übriges Europa;-;-;-
31.12.2024;05;Nordrhein-Westfalen;295;  Sankt Helena, einschl. Ascension (brit. abhängiges Gebiet);-;-;-
31.12.2024;05;Nordrhein-Westfalen;395;  brit. abhängige Gebiete;-;-;-
31.12.2024;05;Nordrhein-Westfalen;495;  Hongkong (brit. abhängiges Gebiet);80;40;40
31.12.2024;05;Nordrhein-Westfalen;2;Afrika;202350;111410;90940
31.12.2024;05;Nordrhein-Westfalen;221;  Algerien;5970;4165;1805
31.12.2024;05;Nordrhein-Westfalen;223;  Angola;3810;1775;2035
31.12.2024;05;Nordrhein-Westfalen;224;  Eritrea;16320;9860;6460
31.12.2024;05;Nordrhein-Westfalen;225;  Äthiopien;1895;900;995
31.12.2024;05;Nordrhein-Westfalen;226;  Lesotho;20;5;15
31.12.2024;05;Nordrhein-Westfalen;227;  Botsuana;55;15;40
31.12.2024;05;Nordrhein-Westfalen;229;  Benin;460;270;190
31.12.2024;05;Nordrhein-Westfalen;230;  Dschibuti;25;10;15
31.12.2024;05;Nordrhein-Westfalen;231;  Cote d'Ivoire;1445;795;650
31.12.2024;05;Nordrhein-Westfalen;232;  Nigeria;26350;13825;12525
31.12.2024;05;Nordrhein-Westfalen;233;  Simbabwe;905;320;585
31.12.2024;05;Nordrhein-Westfalen;236;  Gabun;110;65;45
31.12.2024;05;Nordrhein-Westfalen;237;  Gambia;1600;1030;575
31.12.2024;05;Nordrhein-Westfalen;238;  Ghana;14265;7625;6635
31.12.2024;05;Nordrhein-Westfalen;239;  Mauretanien;190;140;45
31.12.2024;05;Nordrhein-Westfalen;242;  Kap Verde;60;30;30
31.12.2024;05;Nordrhein-Westfalen;243;  Kenia;2490;820;1670
31.12.2024;05;Nordrhein-Westfalen;244;  Komoren;10;-;-
31.12.2024;05;Nordrhein-Westfalen;245;  Kongo (Republik);1035;550;485
31.12.2024;05;Nordrhein-Westfalen;246;  Kongo, Demokratische Republik;4875;2370;2510
31.12.2024;05;Nordrhein-Westfalen;247;  Liberia;175;115;60
31.12.2024;05;Nordrhein-Westfalen;248;  Libyen;3685;2215;1470
31.12.2024;05;Nordrhein-Westfalen;249;  Madagaskar;1025;255;770
31.12.2024;05;Nordrhein-Westfalen;251;  Mali;960;740;220
31.12.2024;05;Nordrhein-Westfalen;252;  Marokko;45200;22610;22590
31.12.2024;05;Nordrhein-Westfalen;253;  Mauritius;415;195;225
31.12.2024;05;Nordrhein-Westfalen;254;  Mosambik;235;130;105
31.12.2024;05;Nordrhein-Westfalen;255;  Niger;250;165;90
31.12.2024;05;Nordrhein-Westfalen;256;  Malawi;175;85;90
31.12.2024;05;Nordrhein-Westfalen;257;  Sambia;150;60;90
31.12.2024;05;Nordrhein-Westfalen;258;  Burkina Faso;350;210;140
31.12.2024;05;Nordrhein-Westfalen;259;  Guinea-Bissau;195;125;70
31.12.2024;05;Nordrhein-Westfalen;261;  Guinea;14010;9495;4515
31.12.2024;05;Nordrhein-Westfalen;262;  Kamerun;7310;3830;3480
31.12.2024;05;Nordrhein-Westfalen;263;  Südafrika;1485;700;785
31.12.2024;05;Nordrhein-Westfalen;265;  Ruanda;380;175;205
31.12.2024;05;Nordrhein-Westfalen;267;  Namibia;315;95;220
31.12.2024;05;Nordrhein-Westfalen;268;  Sao Tome und Principe;-;-;-
31.12.2024;05;Nordrhein-Westfalen;269;  Senegal;1145;655;490
31.12.2024;05;Nordrhein-Westfalen;271;  Seychellen;40;20;20
31.12.2024;05;Nordrhein-Westfalen;272;  Sierra Leone;630;420;210
31.12.2024;05;Nordrhein-Westfalen;273;  Somalia;11580;6410;5170
31.12.2024;05;Nordrhein-Westfalen;274;  Äquatorialguinea;30;15;10
31.12.2024;05;Nordrhein-Westfalen;276;  Sudan (einschließlich Südsudan);1275;680;595
31.12.2024;05;Nordrhein-Westfalen;281;  Eswatini (ehemals Swasiland);15;10;5
31.12.2024;05;Nordrhein-Westfalen;282;  Tansania, Vereinigte Republik;555;275;285
31.12.2024;05;Nordrhein-Westfalen;283;  Togo;2575;1275;1300
31.12.2024;05;Nordrhein-Westfalen;284;  Tschad;60;35;25
31.12.2024;05;Nordrhein-Westfalen;285;  Tunesien;13355;7555;5800
31.12.2024;05;Nordrhein-Westfalen;286;  Uganda;840;320;520
31.12.2024;05;Nordrhein-Westfalen;287;  Ägypten;11335;7500;3835
31.12.2024;05;Nordrhein-Westfalen;289;  Zentralafrikanische Republik;25;15;5
31.12.2024;05;Nordrhein-Westfalen;291;  Burundi;700;460;240
31.12.2024;05;Nordrhein-Westfalen;299;  Übriges Afrika, Mayotte, Réunion;-;-;-
31.12.2024;05;Nordrhein-Westfalen;3;Amerika;50790;22110;28680
31.12.2024;05;Nordrhein-Westfalen;320;  Antigua und Barbuda;15;10;5
31.12.2024;05;Nordrhein-Westfalen;322;  Barbados;30;20;10
31.12.2024;05;Nordrhein-Westfalen;323;  Argentinien;1560;735;825
31.12.2024;05;Nordrhein-Westfalen;324;  Bahamas;15;5;10
31.12.2024;05;Nordrhein-Westfalen;326;  Bolivien;425;165;255
31.12.2024;05;Nordrhein-Westfalen;327;  Brasilien;10440;3710;6730
31.12.2024;05;Nordrhein-Westfalen;328;  Guyana;25;10;15
31.12.2024;05;Nordrhein-Westfalen;330;  Belize;10;5;5
31.12.2024;05;Nordrhein-Westfalen;332;  Chile;1855;890;965
31.12.2024;05;Nordrhein-Westfalen;333;  Dominica;100;50;50
31.12.2024;05;Nordrhein-Westfalen;334;  Costa Rica;340;160;180
31.12.2024;05;Nordrhein-Westfalen;335;  Dominikanische Republik;1355;495;855
31.12.2024;05;Nordrhein-Westfalen;336;  Ecuador;1355;580;775
31.12.2024;05;Nordrhein-Westfalen;337;  El Salvador;320;145;170
31.12.2024;05;Nordrhein-Westfalen;340;  Grenada;15;10;5
31.12.2024;05;Nordrhein-Westfalen;345;  Guatemala;205;105;105
31.12.2024;05;Nordrhein-Westfalen;346;  Haiti;95;40;55
31.12.2024;05;Nordrhein-Westfalen;347;  Honduras;745;345;400
31.12.2024;05;Nordrhein-Westfalen;348;  Kanada;3215;1560;1655
31.12.2024;05;Nordrhein-Westfalen;349;  Kolumbien;4525;1705;2815
31.12.2024;05;Nordrhein-Westfalen;351;  Kuba;1490;545;945
31.12.2024;05;Nordrhein-Westfalen;353;  Mexiko;3790;1645;2140
31.12.2024;05;Nordrhein-Westfalen;354;  Nicaragua;175;85;95
31.12.2024;05;Nordrhein-Westfalen;355;  Jamaika;295;155;140
31.12.2024;05;Nordrhein-Westfalen;357;  Panama;115;50;65
31.12.2024;05;Nordrhein-Westfalen;359;  Paraguay;345;105;240
31.12.2024;05;Nordrhein-Westfalen;361;  Peru;2250;800;1450
31.12.2024;05;Nordrhein-Westfalen;364;  Suriname;20;10;10
31.12.2024;05;Nordrhein-Westfalen;365;  Uruguay;140;70;70
31.12.2024;05;Nordrhein-Westfalen;366;  St. Lucia;30;15;15
31.12.2024;05;Nordrhein-Westfalen;367;  Venezuela;1310;550;760
31.12.2024;05;Nordrhein-Westfalen;368;  USA;14010;7220;6790
31.12.2024;05;Nordrhein-Westfalen;369;  St.Vincent und die Grenadinen;20;15;5
31.12.2024;05;Nordrhein-Westfalen;370;  St.Kitts (St. Cristopher) und Nevis;45;25;20
31.12.2024;05;Nordrhein-Westfalen;371;  Trinidad und Tobago;110;60;50
31.12.2024;05;Nordrhein-Westfalen;399;  Übriges Amerika;-;-;-
31.12.2024;05;Nordrhein-Westfalen;4;Asien;762740;420255;342485
31.12.2024;05;Nordrhein-Westfalen;411;  Hongkong;220;100;115
31.12.2024;05;Nordrhein-Westfalen;412;  Macau (chinesisch);10;5;5
31.12.2024;05;Nordrhein-Westfalen;421;  Jemen;945;570;375
31.12.2024;05;Nordrhein-Westfalen;422;  Armenien;9235;4515;4720
31.12.2024;05;Nordrhein-Westfalen;423;  Afghanistan;73320;45525;27795
31.12.2024;05;Nordrhein-Westfalen;424;  Bahrain;105;50;50
31.12.2024;05;Nordrhein-Westfalen;425;  Aserbaidschan;12880;6710;6170
31.12.2024;05;Nordrhein-Westfalen;426;  Bhutan;30;15;15
31.12.2024;05;Nordrhein-Westfalen;427;  Myanmar;555;340;215
31.12.2024;05;Nordrhein-Westfalen;429;  Brunei;5;-;-
31.12.2024;05;Nordrhein-Westfalen;430;  Georgien;7870;3830;4040
31.12.2024;05;Nordrhein-Westfalen;431;  Sri Lanka;12210;5980;6230
31.12.2024;05;Nordrhein-Westfalen;432;  Vietnam;14235;6105;8130
31.12.2024;05;Nordrhein-Westfalen;434;  Korea, Volksrepublik (Nordkorea);65;30;35
31.12.2024;05;Nordrhein-Westfalen;436;  Indien;45030;25900;19125
31.12.2024;05;Nordrhein-Westfalen;437;  Indonesien;5040;2115;2925
31.12.2024;05;Nordrhein-Westfalen;438;  Irak;91200;49640;41565
31.12.2024;05;Nordrhein-Westfalen;439;  Iran;44025;23775;20250
31.12.2024;05;Nordrhein-Westfalen;441;  Israel;2205;1325;880
31.12.2024;05;Nordrhein-Westfalen;442;  Japan;12100;5500;6600
31.12.2024;05;Nordrhein-Westfalen;444;  Kasachstan;11160;5015;6145
31.12.2024;05;Nordrhein-Westfalen;445;  Jordanien;4795;2930;1865
31.12.2024;05;Nordrhein-Westfalen;446;  Kambodscha;150;40;110
31.12.2024;05;Nordrhein-Westfalen;447;  Katar;450;270;185
31.12.2024;05;Nordrhein-Westfalen;448;  Kuwait;175;90;80
31.12.2024;05;Nordrhein-Westfalen;449;  Laos;200;45;155
31.12.2024;05;Nordrhein-Westfalen;450;  Kirgisistan;3065;1260;1805
31.12.2024;05;Nordrhein-Westfalen;451;  Libanon;15960;9565;6395
31.12.2024;05;Nordrhein-Westfalen;454;  Malediven;15;10;5
31.12.2024;05;Nordrhein-Westfalen;456;  Oman;75;35;40
31.12.2024;05;Nordrhein-Westfalen;457;  Mongolei;2640;1140;1500
31.12.2024;05;Nordrhein-Westfalen;458;  Nepal;1675;910;770
31.12.2024;05;Nordrhein-Westfalen;459;  Palästinensische Gebiete (ab 2013);860;550;315
31.12.2024;05;Nordrhein-Westfalen;460;  Bangladesch;8465;5900;2565
31.12.2024;05;Nordrhein-Westfalen;461;  Pakistan;15355;9350;6005
31.12.2024;05;Nordrhein-Westfalen;462;  Philippinen;8625;3015;5610
31.12.2024;05;Nordrhein-Westfalen;465;  Taiwan, (China );2005;670;1335
31.12.2024;05;Nordrhein-Westfalen;467;  Korea, Republik (Südkorea);7465;3110;4355
31.12.2024;05;Nordrhein-Westfalen;469;  Vereinigte Arabische Emirate;250;145;105
31.12.2024;05;Nordrhein-Westfalen;470;  Tadschikistan;5860;3215;2650
31.12.2024;05;Nordrhein-Westfalen;471;  Turkmenistan;465;260;205
31.12.2024;05;Nordrhein-Westfalen;472;  Saudi-Arabien;480;295;185
31.12.2024;05;Nordrhein-Westfalen;474;  Singapur;395;140;255
31.12.2024;05;Nordrhein-Westfalen;475;  Syrien;287940;168230;119710
31.12.2024;05;Nordrhein-Westfalen;476;  Thailand;10690;1385;9300
31.12.2024;05;Nordrhein-Westfalen;477;  Usbekistan;2715;1395;1320
31.12.2024;05;Nordrhein-Westfalen;479;  China (Festland);38040;18455;19585
31.12.2024;05;Nordrhein-Westfalen;482;  Malaysia;1480;805;675
31.12.2024;05;Nordrhein-Westfalen;483;  Timor-Leste;5;-;-
31.12.2024;05;Nordrhein-Westfalen;499;  Übriges Asien, Macau;-;-;-
31.12.2024;05;Nordrhein-Westfalen;5;Australien / Ozeanien;2650;1520;1130
31.12.2024;05;Nordrhein-Westfalen;523;  Australien;2095;1190;905
31.12.2024;05;Nordrhein-Westfalen;524;  Salomonen;5;-;-
31.12.2024;05;Nordrhein-Westfalen;526;  Fidschi;50;25;25
31.12.2024;05;Nordrhein-Westfalen;527;  Cookinseln;-;-;-
31.12.2024;05;Nordrhein-Westfalen;530;  Kiribati;5;-;-
31.12.2024;05;Nordrhein-Westfalen;531;  Nauru;-;-;-
31.12.2024;05;Nordrhein-Westfalen;532;  Vanuatu;5;-;-
31.12.2024;05;Nordrhein-Westfalen;536;  Neuseeland;475;290;185
31.12.2024;05;Nordrhein-Westfalen;537;  Palau;-;-;-
31.12.2024;05;Nordrhein-Westfalen;538;  Papua-Neuguinea;5;5;5
31.12.2024;05;Nordrhein-Westfalen;540;  Tuvalu;-;-;-
31.12.2024;05;Nordrhein-Westfalen;541;  Tonga;5;-;-
31.12.2024;05;Nordrhein-Westfalen;543;  Samoa;5;-;-
31.12.2024;05;Nordrhein-Westfalen;544;  Marshallinseln;-;-;-
31.12.2024;05;Nordrhein-Westfalen;599;  Übriges Ozeanien;-;-;-
31.12.2024;05;Nordrhein-Westfalen;9;Sonstige;26790;15005;11785
31.12.2024;05;Nordrhein-Westfalen;997;  staatenlos;7230;4025;3210
31.12.2024;05;Nordrhein-Westfalen;998;  ungeklärt;18965;10640;8325
31.12.2024;05;Nordrhein-Westfalen;999;  ohne Angabe;460;275;185
31.12.2024;051;  Düsseldorf, Regierungsbezirk;1;Europa;759600;386370;373230
31.12.2024;051;  Düsseldorf, Regierungsbezirk;121;  Albanien;10810;6035;4775
31.12.2024;051;  Düsseldorf, Regierungsbezirk;122;  Bosnien und Herzegowina;16090;8510;7580
31.12.2024;051;  Düsseldorf, Regierungsbezirk;123;  Andorra;-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;124;  Belgien;3395;1845;1550
31.12.2024;051;  Düsseldorf, Regierungsbezirk;125;  Bulgarien;43035;22360;20675
31.12.2024;051;  Düsseldorf, Regierungsbezirk;126;  Dänemark;695;360;335
31.12.2024;051;  Düsseldorf, Regierungsbezirk;127;  Estland;440;175;260
31.12.2024;051;  Düsseldorf, Regierungsbezirk;128;  Finnland;845;305;540
31.12.2024;051;  Düsseldorf, Regierungsbezirk;129;  Frankreich;8075;3725;4350
31.12.2024;051;  Düsseldorf, Regierungsbezirk;130;  Kroatien;20700;10545;10155
31.12.2024;051;  Düsseldorf, Regierungsbezirk;131;  Slowenien;1690;870;820
31.12.2024;051;  Düsseldorf, Regierungsbezirk;132;  Serbien und Montenegro (ab 01.01.2004-31.07.2006);1940;1030;915
31.12.2024;051;  Düsseldorf, Regierungsbezirk;133;  Serbien (ab 01.08.2006);265;135;130
31.12.2024;051;  Düsseldorf, Regierungsbezirk;134;  Griechenland;37730;19940;17790
31.12.2024;051;  Düsseldorf, Regierungsbezirk;135;  Irland;1190;700;495
31.12.2024;051;  Düsseldorf, Regierungsbezirk;136;  Island;75;45;35
31.12.2024;051;  Düsseldorf, Regierungsbezirk;137;  Italien;50555;28845;21710
31.12.2024;051;  Düsseldorf, Regierungsbezirk;138;  Jugoslawien (ehem.);785;465;325
31.12.2024;051;  Düsseldorf, Regierungsbezirk;139;  Lettland;3195;1620;1570
31.12.2024;051;  Düsseldorf, Regierungsbezirk;140;  Montenegro (ab 01.08.2006);1335;690;640
31.12.2024;051;  Düsseldorf, Regierungsbezirk;141;  Liechtenstein;10;5;5
