Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;Nordrhein-Westfalen;A;Land- und Forstwirtschaft, Fischerei;30831;1307;5791;8057;6534;9142;5727;14920;2166;8018
31.12.2024;Nordrhein-Westfalen;B-F;Produzierendes Gewerbe;1822337;44219;394860;539457;572841;270960;272312;1154859;238231;156935
31.12.2024;Nordrhein-Westfalen;B-E;Produzierendes Gewerbe ohne Baugewerbe;1440080;31212;297192;422394;497249;192033;203599;921598;216838;98045
31.12.2024;Nordrhein-Westfalen;C;Verarbeitendes Gewerbe;1298577;29181;271223;380091;438771;179311;187716;833221;188216;89424
31.12.2024;Nordrhein-Westfalen;F;Baugewerbe;382257;13007;97668;117063;75592;78927;68713;233261;21393;58890
31.12.2024;Nordrhein-Westfalen;G-T;Dienstleistungsbereich;5537632;148221;685472;1379823;2579229;744887;875770;2981176;1145789;534897
31.12.2024;Nordrhein-Westfalen;G-I;Handel, Gastgewerbe, Verkehr;1644644;56729;309162;471561;500430;306762;322664;926854;149422;245704
31.12.2024;Nordrhein-Westfalen;J;Information und Kommunikation;264965;822;5831;33422;198457;26433;26695;100639;114424;23207
31.12.2024;Nordrhein-Westfalen;K;Erbringung von Finanz- und Versicherungsdienstleistungen;211662;506;4955;38670;154676;12855;15444;138102;48832;9284
31.12.2024;Nordrhein-Westfalen;L;Grundstücks- und Wohnungswesen;63416;769;6718;14929;33120;7880;6687;38140;12139;6450
31.12.2024;Nordrhein-Westfalen;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;1065846;39276;134438;211044;542578;138510;187266;473485;284144;120951
31.12.2024;Nordrhein-Westfalen;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;2020921;45013;190501;548296;1022822;214289;276357;1171345;473550;99669
31.12.2024;Nordrhein-Westfalen;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;266178;5106;33867;61901;127146;38158;40657;132611;63278;29632
31.12.2024;Nordrhein-Westfalen;;Insgesamt;7390826;193750;1086124;1927338;3158621;1024993;1153812;4150960;1386201;699853
31.12.2024;  Düsseldorf, Regierungsbezirk;A;Land- und Forstwirtschaft, Fischerei;9364;496;1696;1849;1509;3814;1668;3798;485;3413
31.12.2024;  Düsseldorf, Regierungsbezirk;B-F;Produzierendes Gewerbe;465139;10617;94897;124306;158293;77026;68147;284860;69883;42249
31.12.2024;  Düsseldorf, Regierungsbezirk;B-E;Produzierendes Gewerbe ohne Baugewerbe;359286;6740;69866;93941;135626;53113;49107;223320;62810;24049
31.12.2024;  Düsseldorf, Regierungsbezirk;C;Verarbeitendes Gewerbe;308770;5993;61084;81683;113330;46680;43240;194726;50787;20017
31.12.2024;  Düsseldorf, Regierungsbezirk;F;Baugewerbe;105853;3877;25031;30365;22667;23913;19040;61540;7073;18200
31.12.2024;  Düsseldorf, Regierungsbezirk;G-T;Dienstleistungsbereich;1728141;45694;207231;411457;823413;240346;271528;903181;372308;181124
31.12.2024;  Düsseldorf, Regierungsbezirk;G-I;Handel, Gastgewerbe, Verkehr;525226;18795;91241;138539;174094;102557;100819;280677;59777;83953
31.12.2024;  Düsseldorf, Regierungsbezirk;J;Information und Kommunikation;74120;246;2199;10398;53703;7574;6945;30033;31078;6064
31.12.2024;  Düsseldorf, Regierungsbezirk;K;Erbringung von Finanz- und Versicherungsdienstleistungen;72817;174;1623;12456;52823;5741;5345;44742;18696;4034
31.12.2024;  Düsseldorf, Regierungsbezirk;L;Grundstücks- und Wohnungswesen;23342;364;2280;5205;12502;2991;2532;13697;4615;2498
31.12.2024;  Düsseldorf, Regierungsbezirk;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;383877;14359;45148;72053;202666;49651;65654;165013;109407;43803
31.12.2024;  Düsseldorf, Regierungsbezirk;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;572015;10018;54686;154988;292031;60292;78104;331074;131432;31405
31.12.2024;  Düsseldorf, Regierungsbezirk;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;76744;1738;10054;17818;35594;11540;12129;37945;17303;9367
31.12.2024;  Düsseldorf, Regierungsbezirk;;Insgesamt;2202648;56807;303824;537613;983217;321187;341343;1191842;442676;226787
31.12.2024;    Düsseldorf, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;399;19;54;56;65;205;52;122;30;195
31.12.2024;    Düsseldorf, krfr. Stadt;B-F;Produzierendes Gewerbe;48972;1135;6632;10000;20332;10873;5944;27482;11340;4206
