Tabelle: 22161-08i
Empfänger/-innen von Eingliederungshilfe nach Alter (6),;;;;;;;;;;
Leistungsart (5) und Träger (2) - Region - Stichtag;;;;;;;;;;
(Trägerprinzip);;;;;;;;;;
Statistik der Empfänger/-innen von Eingliederungshilfe nach dem SGB IX;;;;;;;;;;
;;;;Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip)
;;;;Insgesamt;unter 7 Jahre;7 bis unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2024;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;65;-;30;-;-;5;30
31.12.2024;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;-;-;-;-;-;-;-
31.12.2024;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;6660;385;5990;275;10;-;-
31.12.2024;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;1820;50;325;65;375;480;525
31.12.2024;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;10;-;10;-;-;-;-
31.12.2024;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;8335;425;6155;330;385;485;550
31.12.2024;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;7560;7295;60;40;145;15;-
31.12.2024;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;34425;-;-;3180;20570;10095;580
31.12.2024;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;320;-;110;170;40;-;-
31.12.2024;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;76090;13300;375;2860;29295;22225;8035
31.12.2024;Rheinland;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;2150;25;440;510;830;245;100
31.12.2024;Rheinland;Landschaftsverband (ohne Delegation);Insgesamt;94945;15645;940;5460;38975;25740;8180
31.12.2024;Rheinland;Insgesamt;Leistungen zur medizinischen Rehabilitation;7625;7295;95;40;145;20;30
31.12.2024;Rheinland;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;34425;-;-;3180;20570;10100;580
31.12.2024;Rheinland;Insgesamt;Leistungen zur Teilhabe an Bildung;6980;385;6100;445;50;-;-
31.12.2024;Rheinland;Insgesamt;Leistungen zur Sozialen Teilhabe;77905;13350;700;2925;29670;22705;8555
31.12.2024;Rheinland;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;2165;25;450;510;835;245;100
31.12.2024;Rheinland;Insgesamt;Insgesamt;103280;16070;7095;5795;39360;26230;8730
31.12.2024;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;5;-;5;-;-;-;-
31.12.2024;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;-;-;-;-;-;-;-
31.12.2024;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;7410;460;6615;330;-;-;-
31.12.2024;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;1150;40;260;70;270;240;265
31.12.2024;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;35;5;25;5;-;-;-
31.12.2024;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;8510;505;6825;400;275;240;265
31.12.2024;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;5560;5445;95;-;20;-;-
31.12.2024;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;36020;-;-;2790;21235;11490;510
31.12.2024;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;1205;10;800;370;25;-;-
31.12.2024;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;85955;20945;165;3630;30295;22555;8370
31.12.2024;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;1290;45;485;280;270;115;100
31.12.2024;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Insgesamt;106790;23550;1500;6150;40315;26660;8615
