Tabelle: 22542-06i
Anzahl der Gruppen/Betreuungsformen in;;;;;;;;;;;;;;;
betriebserlaubnispflichtigen Einrichtungen der Kinder und;;;;;;;;;;;;;;;
Jugendhilfe nach Rechtsgrundlage der Betreuung (14),;;;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Jahr;;;;;;;;;;;;;;;
Erhebung der Träger der Jugendhilfe, der dort tätigen Personen und deren Einrichtungen;;;;;;;;;;;;;;;
;;;"§13 Abs. 2 3 SGB VIII Jugendsozialarbeit; Sozialpädagogisch begleitetes Wohnen";§19 SGB VIII Gemeinsame Wohnformen für Mütter/Väter und Kinder;§27 Abs. 2 SGB VIII Hilfe zur Erziehung (ohne Verb. Zu Hilfen gem. §§ 28-35);§32 SGB VIII Erziehung in einer Tagesgruppe;§34 SGB VIII Heimerziehung, sonstige betreute Wohnform;§35 SGB VIII Intensive sozialpädagogische Einzelbetreuung;§35a SGB VIII Eingliederungshilfe für seelisch behinderte junge Menschen;§41 SGB VIII Hilfen für junge Volljährige (z.B. als Anschlussbetreuung);§42 SGB VIII Inobhutnahme;§42a SGB VIII Vorläufige Inobhutnahme;SGB IX Eingliederungshilfe;Einstweilige Unterbringung gemäß §§ 71 Abs. 2, 72 JGG;Gesicherte/Geschlossene Unterbringung a. Grundlage einer richterlichen Entscheidung gem. §1631b BGB
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;05;Nordrhein-Westfalen;151;188;1131;314;2801;134;1164;1347;405;138;199;5;10
2024;051;  Düsseldorf, Regierungsbezirk;36;42;333;91;860;66;206;416;160;65;48;1;4
2024;05111;    Düsseldorf, krfr. Stadt;6;7;2;13;131;11;17;52;3;4;-;-;-
2024;05112;    Duisburg, krfr. Stadt;-;7;5;11;93;4;13;21;4;5;3;-;-
2024;05113;    Essen, krfr. Stadt;2;2;21;7;68;4;12;42;6;5;5;-;-
2024;05114;    Krefeld, krfr. Stadt;3;-;2;1;5;-;2;5;1;2;-;-;-
2024;05116;    Mönchengladbach, krfr. Stadt;-;2;7;2;14;-;1;5;8;2;5;-;1
2024;05117;    Mülheim an der Ruhr, krfr. Stadt;-;-;4;-;4;-;-;4;-;-;-;-;-
2024;05119;    Oberhausen, krfr. Stadt;-;1;13;9;22;1;3;6;3;1;-;-;-
2024;05120;    Remscheid, krfr. Stadt;-;2;17;1;20;1;12;16;3;-;-;-;-
2024;05122;    Solingen, krfr. Stadt;-;1;1;4;14;-;7;10;1;-;-;-;-
2024;05124;    Wuppertal, krfr. Stadt;2;2;62;5;86;6;19;54;16;2;-;-;-
