Tabelle: 22811-05i
Sozialberichterstattung in der amtlichen Statistik:;;;;;;;;;;
Empfänger/innen von sozialen Mindestsicherungsleistungen;;;;;;;;;;
nach Art der Leistung - Gemeinden (Wohnortprinzip) - Jahr;;;;;;;;;;
Sozialberichterstattung in der amtlichen Statistik;;;;;;;;;;
;;;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung
;;;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Insgesamt;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Hilfe zum Lebensunterhalt außerhalb von Einrichtungen nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Regelleistungen nach dem Asylbewerberleistungsgesetz
;;;;;;;Insgesamt;im Alter;bei Erwerbsminderung;
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;05;Nordrhein-Westfalen;1557269;1997154;1557269;30280;321050;195965;125085;88555
2024;051;  Düsseldorf, Regierungsbezirk;519326;654646;519326;8760;101320;64470;36855;25240
2024;05111;    Düsseldorf, krfr. Stadt;49723;68098;49723;885;15570;11310;4265;1920
2024;05112;    Duisburg, krfr. Stadt;71734;84204;71734;1095;10245;6420;3825;1130
2024;05113;    Essen, krfr. Stadt;85382;101987;85382;900;14400;9595;4805;1305
2024;05114;    Krefeld, krfr. Stadt;25978;32473;25978;475;4945;3280;1660;1075
2024;05116;    Mönchengladbach, krfr. Stadt;33282;42217;33282;490;6620;4065;2550;1825
2024;05117;    Mülheim an der Ruhr, krfr. Stadt;19445;24125;19445;260;3350;2260;1090;1070
2024;05119;    Oberhausen, krfr. Stadt;26251;31081;26251;360;4220;2675;1545;250
2024;05120;    Remscheid, krfr. Stadt;10880;14050;10880;365;2120;1005;1115;685
2024;05122;    Solingen, krfr. Stadt;14915;18855;14915;350;2895;1650;1245;695
2024;05124;    Wuppertal, krfr. Stadt;45419;56329;45419;950;8625;5450;3175;1335
2024;05154;    Kleve, Kreis;17414;26404;17414;455;4890;2425;2460;3645
2024;05154004;      Bedburg-Hau;572;837;572;10;195;85;110;60
2024;05154008;      Emmerich am Rhein, Stadt;2053;2763;2053;55;490;265;225;165
2024;05154012;      Geldern, Stadt;2145;2930;2145;35;590;300;290;160
2024;05154016;      Goch, Stadt;2035;3045;2035;50;540;245;295;420
2024;05154020;      Issum;569;799;569;5;120;60;60;105
2024;05154024;      Kalkar, Stadt;614;1029;614;10;235;135;95;170
2024;05154028;      Kerken;527;757;527;10;115;65;55;105
2024;05154032;      Kevelaer, Stadt;1377;2117;1377;50;365;200;170;325
2024;05154036;      Kleve, Stadt;3702;5187;3702;115;1145;555;590;225
2024;05154040;      Kranenburg;.;200;.;5;140;40;100;55
2024;05154044;      Rees, Stadt;1222;2082;1222;35;300;140;160;525
2024;05154048;      Rheurdt;.;125;.;5;50;25;25;70
2024;05154052;      Straelen, Stadt;687;942;687;10;175;105;70;70
2024;05154056;      Uedem;463;638;463;10;120;70;55;45
2024;05154060;      Wachtendonk;381;516;381;-;70;40;30;65
2024;05154064;      Weeze;476;1846;476;55;235;95;140;1080
2024;05158;    Mettmann, Kreis;39429;50364;39429;820;6940;4575;2365;3175
2024;05158004;      Erkrath, Stadt;4137;5227;4137;10;860;685;180;220
2024;05158008;      Haan, Stadt;1877;2547;1877;55;405;270;140;210
2024;05158012;      Heiligenhaus, Stadt;2332;2917;2332;30;390;250;140;165
2024;05158016;      Hilden, Stadt;3840;4760;3840;70;495;320;175;355
2024;05158020;      Langenfeld (Rhld.), Stadt;3231;4206;3231;110;665;395;270;200
2024;05158024;      Mettmann, Stadt;2663;3383;2663;50;490;290;200;180
2024;05158026;      Monheim am Rhein, Stadt;5174;6384;5174;235;795;530;270;180
2024;05158028;      Ratingen, Stadt;6718;9148;6718;95;1245;940;305;1090
2024;05158032;      Velbert, Stadt;8095;9960;8095;130;1290;730;560;445
2024;05158036;      Wülfrath, Stadt;1362;1827;1362;35;305;175;130;125
2024;05162;    Rhein-Kreis Neuss;30233;37873;30233;340;5885;3845;2035;1415
2024;05162004;      Dormagen, Stadt;3824;4724;3824;70;665;425;240;165
2024;05162008;      Grevenbroich, Stadt;4891;6171;4891;95;825;490;330;360
2024;05162012;      Jüchen, Stadt;1366;1701;1366;25;200;125;75;110
2024;05162016;      Kaarst, Stadt;2022;2697;2022;25;530;375;155;120
2024;05162020;      Korschenbroich, Stadt;1256;1651;1256;15;220;150;75;160
2024;05162022;      Meerbusch, Stadt;2756;3571;2756;40;545;405;140;230
2024;05162024;      Neuss, Stadt;13590;16645;13590;60;2825;1830;990;170
2024;05162028;      Rommerskirchen;528;713;528;10;75;45;30;100
2024;05166;    Viersen, Kreis;17002;23427;17002;300;3865;2245;1620;2260
2024;05166004;      Brüggen;718;993;718;10;130;75;55;135
2024;05166008;      Grefrath;674;1054;674;15;185;85;105;180
2024;05166012;      Kempen, Stadt;1588;2118;1588;25;350;220;135;155
2024;05166016;      Nettetal, Stadt;2232;3117;2232;45;585;330;255;255
2024;05166020;      Niederkrüchten;779;1024;779;10;110;65;45;125
2024;05166024;      Schwalmtal;1138;1513;1138;10;210;130;75;155
2024;05166028;      Tönisvorst, Stadt;1525;2270;1525;30;410;250;160;305
2024;05166032;      Viersen, Stadt;6076;8201;6076;95;1430;805;630;600
