Name,Typ 1,Typ 2
Düsseldorf,Kreisfreie Stadt,Kreisfreie Stadt
Duisburg,Kreisfreie Stadt,Kreisfreie Stadt
Essen,Kreisfreie Stadt,Kreisfreie Stadt
Krefeld,Kreisfreie Stadt,Kreisfreie Stadt
Mönchengladbach,Kreisfreie Stadt,Kreisfreie Stadt
Mülheim an der Ruhr,Kreisfreie Stadt,Kreisfreie Stadt
Oberhausen,Kreisfreie Stadt,Kreisfreie Stadt
Remscheid,Kreisfreie Stadt,Kreisfreie Stadt
Solingen,Kreisfreie Stadt,Kreisfreie Stadt
Wuppertal,Kreisfreie Stadt,Kreisfreie Stadt
Kleve,Kleiner Kreis,Kreis
Mettmann,Großer Kreis,Kreis
Rhein-Kreis Neuss,Großer Kreis,Kreis
Viersen,Großer Kreis,Kreis
Wesel,Großer Kreis,Kreis
Bonn,Kreisfreie Stadt,Kreisfreie Stadt
Köln,Kreisfreie Stadt,Kreisfreie Stadt
Leverkusen,Kreisfreie Stadt,Kreisfreie Stadt
Aachen,Städteregion,Städteregion
Düren,Großer Kreis,Kreis
Rhein-Erft-Kreis,Großer Kreis,Kreis
Euskirchen,Kleiner Kreis,Kreis
Heinsberg,Kleiner Kreis,Kreis
Oberbergischer Kreis,Kleiner Kreis,Kreis
Rheinisch-Bergischer Kreis,Großer Kreis,Kreis
Rhein-Sieg-Kreis,Großer Kreis,Kreis
Bottrop,Kreisfreie Stadt,Kreisfreie Stadt
Gelsenkirchen,Kreisfreie Stadt,Kreisfreie Stadt
Münster,Kreisfreie Stadt,Kreisfreie Stadt
Borken,Großer Kreis,Kreis
Coesfeld,Kleiner Kreis,Kreis
Recklinghausen,Großer Kreis,Kreis
Steinfurt,Großer Kreis,Kreis
Warendorf,Kleiner Kreis,Kreis
Bielefeld,Kreisfreie Stadt,Kreisfreie Stadt
Gütersloh,Großer Kreis,Kreis
Herford,Großer Kreis,Kreis
Höxter,Kleiner Kreis,Kreis
Lippe,Großer Kreis,Kreis
Minden-Lübbecke,Großer Kreis,Kreis
Paderborn,Großer Kreis,Kreis
Bochum,Kreisfreie Stadt,Kreisfreie Stadt
Dortmund,Kreisfreie Stadt,Kreisfreie Stadt
Hagen,Kreisfreie Stadt,Kreisfreie Stadt
Hamm,Kreisfreie Stadt,Kreisfreie Stadt
Herne,Kreisfreie Stadt,Kreisfreie Stadt
Ennepe-Ruhr-Kreis,Großer Kreis,Kreis
Hochsauerlandkreis,Großer Kreis,Kreis
Märkischer Kreis,Großer Kreis,Kreis
Olpe,Kleiner Kreis,Kreis
Siegen-Wittgenstein,Großer Kreis,Kreis
Soest,Großer Kreis,Kreis
Unna,Großer Kreis,Kreis
